"","Country/Region","date.x","var","value","value_new","population","Lat","Long","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent","date.y"
"1","Afghanistan",2020-04-10,"active",474,36,38928000,9,39,521,37,15,NA,32,474,NA,13,0.4,NA,NA,"Asia","2020-04-10"
"2","Afghanistan",2020-04-10,"confirmed",521,37,38928000,20,61,521,37,15,NA,32,474,NA,13,0.4,NA,NA,"Asia","2020-04-10"
"3","Afghanistan",2020-04-10,"deaths",15,NA,38928000,26,10,521,37,15,NA,32,474,NA,13,0.4,NA,NA,"Asia","2020-04-10"
"4","Afghanistan",2020-04-10,"recovered",32,3,38928000,29,37,521,37,15,NA,32,474,NA,13,0.4,NA,NA,"Asia","2020-04-10"
"5","Albania",2020-04-10,"active",211,-3,2878000,33,17,416,7,23,NA,182,211,7,145,8,3385,1176,"Europe","2020-04-10"
"6","Albania",2020-04-10,"confirmed",416,7,2878000,41,20,416,7,23,NA,182,211,7,145,8,3385,1176,"Europe","2020-04-10"
"7","Albania",2020-04-10,"deaths",23,NA,2878000,11,19,416,7,23,NA,182,211,7,145,8,3385,1176,"Europe","2020-04-10"
"8","Albania",2020-04-10,"recovered",182,11,2878000,1,4,416,7,23,NA,182,211,7,145,8,3385,1176,"Europe","2020-04-10"
"9","Algeria",2020-04-10,"active",1100,-46,43851000,12,1,1761,95,256,21,405,1100,46,40,6,3359,77,"Africa","2020-04-10"
"10","Algeria",2020-04-10,"confirmed",1761,95,43851000,4,1,1761,95,256,21,405,1100,46,40,6,3359,77,"Africa","2020-04-10"
"11","Algeria",2020-04-10,"deaths",256,21,43851000,9,1,1761,95,256,21,405,1100,46,40,6,3359,77,"Africa","2020-04-10"
"12","Algeria",2020-04-10,"recovered",405,110,43851000,24,1,1761,95,256,21,405,1100,46,40,6,3359,77,"Africa","2020-04-10"
"13","Andorra",2020-04-10,"active",504,11,77000,11,1,601,18,26,1,71,504,17,7778,337,1673,21653,"Europe","2020-04-10"
"14","Andorra",2020-04-10,"confirmed",601,18,77000,20,1,601,18,26,1,71,504,17,7778,337,1673,21653,"Europe","2020-04-10"
"15","Andorra",2020-04-10,"deaths",26,1,77000,41,1,601,18,26,1,71,504,17,7778,337,1673,21653,"Europe","2020-04-10"
"16","Andorra",2020-04-10,"recovered",71,6,77000,18,1,601,18,26,1,71,504,17,7778,337,1673,21653,"Europe","2020-04-10"
"17","Angola",2020-04-10,"active",15,0,32866000,-11.2027,16,19,NA,2,NA,2,15,NA,0.6,0.06,NA,NA,"Africa","2020-04-10"
"18","Angola",2020-04-10,"confirmed",19,NA,32866000,-11.2027,3,19,NA,2,NA,2,15,NA,0.6,0.06,NA,NA,"Africa","2020-04-10"
"19","Angola",2020-04-10,"deaths",2,NA,32866000,-11.2027,3,19,NA,2,NA,2,15,NA,0.6,0.06,NA,NA,"Africa","2020-04-10"
