"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent","date"
"1","North America",521653,21433,19023,1357,32871,469759,11849,NA,NA,NA,NA,"North America","2020-04-10"
"2","Europe",807567,28715,68807,2989,192841,545919,30294,NA,NA,NA,NA,"Europe","2020-04-10"
"3","Asia",273618,9721,10202,306,133546,129870,6615,NA,NA,NA,NA,"Asia","2020-04-10"
"4","South America",42608,3003,1672,57,4465,36471,1160,NA,NA,NA,NA,"South America","2020-04-10"
"5","Oceania",7573,96,55,3,3515,4003,79,NA,NA,NA,NA,"Australia/Oceania","2020-04-10"
"6","Africa",13257,377,678,46,2144,10435,154,NA,NA,NA,NA,"Africa","2020-04-10"
"7","",721,NA,13,NA,619,89,10,NA,NA,NA,NA,"","2020-04-10"
"8","World",1666997,63345,100450,4758,370001,1196546,50161,214,12.9,NA,NA,"All","2020-04-10"
"9","US",488844,20278,17995,1304,26179,444670,10896,1477,54,2488136,7517,"North America","2020-04-10"
"10","Spain",157053,3831,15970,523,55668,85415,7371,3359,342,355000,7593,"Europe","2020-04-10"
"11","Italy",147577,3951,18849,570,30455,98273,3497,2441,312,906864,14999,"Europe","2020-04-10"
"12","Germany",119624,1389,2607,NA,52407,64610,4895,1428,31,1317887,15730,"Europe","2020-04-10"
"13","France",117749,NA,12210,NA,23206,82333,7066,1804,187,333807,5114,"Europe","2020-04-10"
"14","United Kingdom",73758,8681,8958,980,135,64665,1559,1086,132,316836,4667,"Europe","2020-04-10"
"15","Iran",68192,1972,4232,122,35465,28495,3969,812,50,242568,2888,"Asia","2020-04-10"
"16","Turkey",47029,4747,1006,98,2423,43600,1667,558,12,307210,3643,"Asia","2020-04-10"
"17","Belgium",26667,1684,3019,496,5568,18080,1278,2301,260,84248,7269,"Europe","2020-04-10"
"18","Switzerland",24551,500,1001,53,10600,12950,386,2837,116,178500,20625,"Europe","2020-04-10"
"19","Netherlands",23097,1335,2511,115,250,20336,1424,1348,147,101534,5926,"Europe","2020-04-10"
"20","Canada",21243,478,531,22,5580,15132,518,563,14,370315,9812,"North America","2020-04-10"
"21","Brazil",18397,252,974,20,173,17250,296,87,5,62985,296,"South America","2020-04-10"
